function,matching_C_candidates,matching_ASM_candidates,linked_source
func_801CCFF4,,src/shop_menu/main/misc6.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:647
func_801CD2AC,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:648
func_801CDD14,,src/shop_menu/main/misc7.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:649
func_801CE024,,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:650
func_801CEB3C,,src/shop_menu/main/misc8.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:651
func_801D5ED4,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:652
func_801D6338,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:653
func_801D680C,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:654
func_801D6CF4,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:655
func_801D7154,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:656
func_801D74EC,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:657
func_801D7884,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:658
func_801D9808,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:659
func_801D9F98,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:660
func_801DD790,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:661
func_801E1014,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:662
func_801E1AC8,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:663
func_801E23CC,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:664
func_801E4D10,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:665
func_801E56E8,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:666
func_801E5B88,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:667
func_801E5E4C,,src/menu/main/misc.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:668
func_802811EC,,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:669
func_8028125C,,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:670
func_802812A4,,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:671
func_80281400,,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:672
func_80281450,,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:673
func_802815B0,,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:674
func_80281678,,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:675
func_80281B00,,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:676
func_80284EA4,,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:677
start,,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:678
